,id,Headline,Body ID
153,153,Obama is not American,153
154,154,Obama is not American,154
155,155,Obama is not American,155
156,156,Obama is not American,156
157,157,Obama is not American,157
158,158,Obama is not American,158
159,159,Obama is not American,159
160,160,Obama is not American,160
161,161,Obama is not American,161
162,162,Obama is not American,162
163,163,Obama is not American,163
164,164,Obama is not American,164
165,165,Obama is not American,165
166,166,Obama is not American,166
167,167,Obama is not American,167
168,168,Obama is not American,168
169,169,Obama is not American,169
170,170,Obama is not American,170
171,171,Obama is not American,171
172,172,Obama is not American,172
173,173,Obama is not American,173
174,174,Obama is not American,174
175,175,Obama is not American,175
176,176,Obama is not American,176
177,177,Obama is not American,177
178,178,Obama is not American,178
179,179,Obama is not American,179
180,180,Obama is not American,180
181,181,Obama is not American,181
182,182,Obama is not American,182
183,183,Obama is not American,183
184,184,Obama is not American,184
185,185,Obama is not American,185
186,186,Obama is not American,186
187,187,Obama is not American,187
188,188,Obama is not American,188
189,189,Obama is not American,189
190,190,Obama is not American,190
191,191,Obama is not American,191
192,192,Obama is not American,192
193,193,Obama is not American,193
194,194,Obama is not American,194
195,195,Obama is not American,195
196,196,Obama is not American,196
197,197,Obama is not American,197
198,198,Obama is not American,198
199,199,Obama is not American,199
200,200,Obama is not American,200
201,201,Obama is not American,201
202,202,Obama is not American,202
203,203,Obama is not American,203
204,204,Obama is not American,204
205,205,Obama is not American,205
206,206,Obama is not American,206
207,207,Obama is not American,207
208,208,Obama is not American,208
209,209,Obama is not American,209
210,210,Obama is not American,210
211,211,Obama is not American,211
212,212,Obama is not American,212
213,213,Obama is not American,213
214,214,Obama is not American,214
215,215,Obama is not American,215
216,216,Obama is not American,216
217,217,Obama is not American,217
218,218,Obama is not American,218
219,219,Obama is not American,219
220,220,Obama is not American,220
221,221,Obama is not American,221
222,222,Obama is not American,222
223,223,Obama is not American,223
224,224,Obama is not American,224
225,225,Obama is not American,225
226,226,Obama is not American,226
227,227,Obama is not American,227
228,228,Obama is not American,228
229,229,Obama is not American,229
230,230,Obama is not American,230
231,231,Obama is not American,231
232,232,Obama is not American,232
233,233,Obama is not American,233
234,234,Obama is not American,234
235,235,Obama is not American,235
236,236,Obama is not American,236
237,237,Obama is not American,237
238,238,Obama is not American,238
239,239,Obama is not American,239
240,240,Obama is not American,240
241,241,Obama is not American,241
242,242,Obama is not American,242
243,243,Obama is not American,243
244,244,Obama is not American,244
245,245,Obama is not American,245
246,246,Obama is not American,246
247,247,Obama is not American,247
248,248,Obama is not American,248
249,249,Obama is not American,249
250,250,Obama is not American,250
251,251,Obama is not American,251
252,252,Obama is not American,252
253,253,Obama is not American,253
254,254,Obama is not American,254
255,255,Obama is not American,255
256,256,Obama is not American,256
257,257,Obama is not American,257
258,258,Obama is not American,258
259,259,Obama is not American,259
260,260,Obama is not American,260
261,261,Obama is not American,261
262,262,Obama is not American,262
263,263,Obama is not American,263
264,264,Obama is not American,264
265,265,Obama is not American,265
266,266,Obama is not American,266
267,267,Obama is not American,267
268,268,Obama is not American,268
269,269,Obama is not American,269
270,270,Obama is not American,270
271,271,Obama is not American,271
272,272,Obama is not American,272
273,273,Obama is not American,273
274,274,Obama is not American,274
275,275,Obama is not American,275
276,276,Obama is not American,276
277,277,Obama is not American,277
278,278,Obama is not American,278
279,279,Obama is not American,279
280,280,Obama is not American,280
281,281,Obama is not American,281
282,282,Obama is not American,282
283,283,Obama is not American,283
284,284,Obama is not American,284
285,285,Obama is not American,285
286,286,Obama is not American,286
287,287,Obama is not American,287
288,288,Obama is not American,288
289,289,Obama is not American,289
290,290,Obama is not American,290
291,291,Obama is not American,291
292,292,Obama is not American,292
293,293,Obama is not American,293
294,294,Obama is not American,294
295,295,Obama is not American,295
296,296,Obama is not American,296
297,297,Obama is not American,297
298,298,Obama is not American,298
299,299,Obama is not American,299
300,300,Obama is not American,300
301,301,Obama is not American,301
302,302,Obama is not American,302
303,303,Obama is not American,303
304,304,Obama is not American,304
305,305,Obama is not American,305
306,306,Obama is not American,306
307,307,Obama is not American,307
308,308,Obama is not American,308
309,309,Obama is not American,309
310,310,Obama is not American,310
311,311,Obama is not American,311
312,312,Obama is not American,312
313,313,Obama is not American,313
314,314,Obama is not American,314
315,315,Obama is not American,315
316,316,Obama is not American,316
317,317,Obama is not American,317
318,318,Obama is not American,318
319,319,Obama is not American,319
320,320,Obama is not American,320
321,321,Obama is not American,321
322,322,Obama is not American,322
323,323,Obama is not American,323
324,324,Obama is not American,324
325,325,Obama is not American,325
326,326,Obama is not American,326
327,327,Obama is not American,327
328,328,Obama is not American,328
329,329,Obama is not American,329
330,330,Obama is not American,330
331,331,Obama is not American,331
332,332,Obama is not American,332
333,333,Obama is not American,333
334,334,Obama is not American,334
335,335,Obama is not American,335
336,336,Obama is not American,336
337,337,Obama is not American,337
338,338,Obama is not American,338
339,339,Obama is not American,339
340,340,Obama is not American,340
341,341,Obama is not American,341
342,342,Obama is not American,342
343,343,Obama is not American,343
344,344,Obama is not American,344
345,345,Obama is not American,345
346,346,Obama is not American,346
347,347,Obama is not American,347
348,348,Obama is not American,348
349,349,Obama is not American,349
350,350,Obama is not American,350
351,351,Obama is not American,351
352,352,Obama is not American,352
353,353,Obama is not American,353
354,354,Obama is not American,354
355,355,Obama is not American,355
356,356,Obama is not American,356
357,357,Obama is not American,357
358,358,Obama is not American,358
359,359,Obama is not American,359
360,360,Obama is not American,360
361,361,Obama is not American,361
362,362,Obama is not American,362
363,363,Obama is not American,363
364,364,Obama is not American,364
365,365,Obama is not American,365
366,366,Obama is not American,366
367,367,Obama is not American,367
368,368,Obama is not American,368
369,369,Obama is not American,369
370,370,Obama is not American,370
371,371,Obama is not American,371
372,372,Obama is not American,372
373,373,Obama is not American,373
374,374,Obama is not American,374
375,375,Obama is not American,375
376,376,Obama is not American,376
377,377,Obama is not American,377
378,378,Obama is not American,378
379,379,Obama is not American,379
380,380,Obama is not American,380
381,381,Obama is not American,381
382,382,Obama is not American,382
383,383,Obama is not American,383
384,384,Obama is not American,384
385,385,Obama is not American,385
386,386,Obama is not American,386
387,387,Obama is not American,387
388,388,Obama is not American,388
389,389,Obama is not American,389
390,390,Obama is not American,390
391,391,Obama is not American,391
392,392,Obama is not American,392
393,393,Obama is not American,393
394,394,Obama is not American,394
395,395,Obama is not American,395
396,396,Obama is not American,396
397,397,Obama is not American,397
398,398,Obama is not American,398
399,399,Obama is not American,399
400,400,Obama is not American,400
401,401,Obama is not American,401
402,402,Obama is not American,402
403,403,Obama is not American,403
404,404,Obama is not American,404
405,405,Obama is not American,405
406,406,Obama is not American,406
407,407,Obama is not American,407
408,408,Obama is not American,408
409,409,Obama is not American,409
410,410,Obama is not American,410
411,411,Obama is not American,411
412,412,Obama is not American,412
413,413,Obama is not American,413
414,414,Obama is not American,414
415,415,Obama is not American,415
416,416,Obama is not American,416
417,417,Obama is not American,417
418,418,Obama is not American,418
419,419,Obama is not American,419
420,420,Obama is not American,420
421,421,Obama is not American,421
422,422,Obama is not American,422
423,423,Obama is not American,423
424,424,Obama is not American,424
425,425,Obama is not American,425
426,426,Obama is not American,426
427,427,Obama is not American,427
428,428,Obama is not American,428
429,429,Obama is not American,429
430,430,Obama is not American,430
431,431,Obama is not American,431
432,432,Obama is not American,432
433,433,Obama is not American,433
434,434,Obama is not American,434
435,435,Obama is not American,435
436,436,Obama is not American,436
437,437,Obama is not American,437
438,438,Obama is not American,438
439,439,Obama is not American,439
440,440,Obama is not American,440
441,441,Obama is not American,441
442,442,Obama is not American,442
443,443,Obama is not American,443
444,444,Obama is not American,444
445,445,Obama is not American,445
446,446,Obama is not American,446
447,447,Obama is not American,447
448,448,Obama is not American,448
449,449,Obama is not American,449
450,450,Obama is not American,450
451,451,Obama is not American,451
452,452,Obama is not American,452
453,453,Obama is not American,453
454,454,Obama is not American,454
455,455,Obama is not American,455
456,456,Obama is not American,456
457,457,Obama is not American,457
458,458,Obama is not American,458
459,459,Obama is not American,459
460,460,Obama is not American,460
461,461,Obama is not American,461
462,462,Obama is not American,462
463,463,Obama is not American,463
464,464,Obama is not American,464
465,465,Obama is not American,465
466,466,Obama is not American,466
467,467,Obama is not American,467
468,468,Obama is not American,468
469,469,Obama is not American,469
470,470,Obama is not American,470
471,471,Obama is not American,471
472,472,Obama is not American,472
473,473,Obama is not American,473
474,474,Obama is not American,474
475,475,Obama is not American,475
476,476,Obama is not American,476
477,477,Obama is not American,477
478,478,Obama is not American,478
479,479,Obama is not American,479
480,480,Obama is not American,480
481,481,Obama is not American,481
482,482,Obama is not American,482
483,483,Obama is not American,483
484,484,Obama is not American,484
485,485,Obama is not American,485
486,486,Obama is not American,486
487,487,Obama is not American,487
488,488,Obama is not American,488
489,489,Obama is not American,489
490,490,Obama is not American,490
491,491,Obama is not American,491
492,492,Obama is not American,492
493,493,Obama is not American,493
494,494,Obama is not American,494
495,495,Obama is not American,495
496,496,Obama is not American,496
497,497,Obama is not American,497
498,498,Obama is not American,498
499,499,Obama is not American,499
